2017-11-18 19:06:01,28-0315937bc3ff,board,14.25
2017-11-18 19:06:01,28-0315a4b625ff,external,NO-DATA
2017-11-18 19:06:01,28-0115926cbfff,one,NO-DATA
2017-11-18 19:16:02,28-0315937bc3ff,board,14.375
2017-11-18 19:16:02,28-0315a4b625ff,external,NO-DATA
2017-11-18 19:16:02,28-0115926cbfff,one,NO-DATA
2017-11-18 19:26:03,28-0315937bc3ff,board,14.437
2017-11-18 19:26:03,28-0315a4b625ff,external,NO-DATA
2017-11-18 19:26:03,28-0115926cbfff,one,NO-DATA
2017-11-18 19:36:04,28-0315937bc3ff,board,14.375
2017-11-18 19:36:04,28-0315a4b625ff,external,NO-DATA
2017-11-18 19:36:04,28-0115926cbfff,one,NO-DATA
2017-11-18 19:46:05,28-0315937bc3ff,board,14.312
2017-11-18 19:46:05,28-0315a4b625ff,external,NO-DATA
2017-11-18 19:46:05,28-0115926cbfff,one,NO-DATA
2017-11-18 19:56:06,28-0315937bc3ff,board,14.25
2017-11-18 19:56:06,28-0315a4b625ff,external,NO-DATA
2017-11-18 19:56:06,28-0115926cbfff,one,NO-DATA
2017-11-18 20:06:07,28-0315937bc3ff,board,14.187
2017-11-18 20:06:07,28-0315a4b625ff,external,NO-DATA
2017-11-18 20:06:07,28-0115926cbfff,one,NO-DATA
2017-11-18 20:16:08,28-0315937bc3ff,board,14.125
2017-11-18 20:16:08,28-0315a4b625ff,external,NO-DATA
2017-11-18 20:16:08,28-0115926cbfff,one,NO-DATA
2017-11-18 20:26:08,28-0315937bc3ff,board,14.125
2017-11-18 20:26:08,28-0315a4b625ff,external,NO-DATA
2017-11-18 20:26:08,28-0115926cbfff,one,NO-DATA
2017-11-18 20:36:09,28-0315937bc3ff,board,14.125
2017-11-18 20:36:09,28-0315a4b625ff,external,NO-DATA
2017-11-18 20:36:09,28-0115926cbfff,one,NO-DATA
2017-11-18 20:46:10,28-0315937bc3ff,board,14.0
2017-11-18 20:46:10,28-0315a4b625ff,external,NO-DATA
2017-11-18 20:46:10,28-0115926cbfff,one,NO-DATA
